Date,Open,High,Low,Close,Volume
2025-06-09 00:00:00,105734.01,105791.83,105592.0,105686.28,255.38312
2025-06-09 00:15:00,105686.28,105858.21,105581.44,105775.53,161.03984
2025-06-09 00:30:00,105775.53,105966.33,105700.05,105767.45,142.20787
2025-06-09 00:45:00,105767.46,105767.46,105600.0,105706.34,83.67209
2025-06-09 01:00:00,105706.34,105706.34,105561.73,105650.14,65.15878
2025-06-09 01:15:00,105650.14,105740.9,105558.13,105690.82,92.85445
2025-06-09 01:30:00,105690.81,105690.81,105560.08,105579.9,106.52215
2025-06-09 01:45:00,105579.89,105654.19,105427.53,105527.71,125.87527
2025-06-09 02:00:00,105527.71,105715.26,105475.48,105708.85,59.86899
2025-06-09 02:15:00,105708.84,105724.76,105650.0,105652.95,59.69282
2025-06-09 02:30:00,105652.95,105667.45,105530.0,105546.03,62.54091
2025-06-09 02:45:00,105546.03,105625.62,105546.02,105560.89,55.00401
2025-06-09 03:00:00,105560.9,105582.72,105403.22,105443.67,142.3279
2025-06-09 03:15:00,105443.67,105514.1,105318.37,105473.92,186.26305
2025-06-09 03:30:00,105473.92,105611.58,105473.91,105580.12,125.34661
2025-06-09 03:45:00,105580.12,105700.37,105580.11,105659.13,71.29184
2025-06-09 04:00:00,105659.14,105717.3,105650.0,105679.05,66.49483
2025-06-09 04:15:00,105679.05,105711.88,105617.3,105650.01,212.6785
2025-06-09 04:30:00,105650.01,105669.03,105563.68,105566.49,164.2962
2025-06-09 04:45:00,105566.5,105566.5,105428.02,105449.21,58.15636
2025-06-09 05:00:00,105449.21,105459.9,105387.05,105439.21,65.38505
2025-06-09 05:15:00,105439.21,105522.87,105397.69,105431.0,75.20781
2025-06-09 05:30:00,105431.0,105441.87,105325.6,105378.43,100.10624
2025-06-09 05:45:00,105378.44,105461.57,105378.43,105379.11,78.93691
2025-06-09 06:00:00,105379.12,105489.47,105319.0,105397.82,135.32312
2025-06-09 06:15:00,105397.82,105521.85,105397.81,105521.84,100.08929
2025-06-09 06:30:00,105521.85,105598.83,105521.84,105573.9,79.794
2025-06-09 06:45:00,105573.91,105692.84,105570.94,105692.83,139.37948
2025-06-09 07:00:00,105692.84,105692.84,105557.61,105567.91,92.98844
2025-06-09 07:15:00,105567.91,105567.92,105500.0,105523.29,33.45046
2025-06-09 07:30:00,105523.29,105610.76,105523.28,105570.14,26.67416
2025-06-09 07:45:00,105570.14,105580.39,105535.83,105560.71,41.37901
2025-06-09 08:00:00,105560.71,105627.91,105560.7,105594.0,56.26712
2025-06-09 08:15:00,105594.0,105611.7,105473.57,105542.91,69.57561
2025-06-09 08:30:00,105542.92,105753.34,105505.97,105728.92,157.3197
2025-06-09 08:45:00,105728.93,105949.09,105687.95,105926.39,177.93937
